https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90442&itemid=138777;3Think;Россия ;;;Павильон №3 Зал №14;;;;;B6149;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=83085&itemid=137694;4ТЕСТ;Россия;;;Павильон №3 Зал №14;;;;;B8097;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=89014&itemid=134944;9А Электроник;Россия ;;;Павильон №3 Зал №15;;;;;C5123;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90969&itemid=139165;ACE ELECTRONIС (HK）CO., LIMITED;Китай;;;Павильон №3 Зал №14;;;;;B6047;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90723&itemid=139160;Aceray Precision Technology(Shenzhen)Co.,Ltd.;Китай ;;;Павильон №3 Зал №15;;;;;C2145;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92592&itemid=139325;Agreat International Co., Limited;Китай;;;Павильон №3 Зал №15;;;;;C9091;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=91561&itemid=139982;Aip Chip (HK) Co., Limited;Гонконг, специальный административный район Китая ;;;Павильон №3 Зал №15;;;;;C5115;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=91556&itemid=139016;AI-TEX  limited;Китай;;;Павильон №3 Зал №14;;;;;B5117;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=84446&itemid=137359;Ai-Thinker Co., Ltd.;Китай ;;;Павильон №3 Зал №14;;;;;B6143;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90728&itemid=135889;AL TRANSFO TECHNOLOGY LIMITED;Китай;;;Павильон №3 Зал №14;;;;;B1093;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92246&itemid=139652;Alborz Semiconductor;Ближний Восток ;;;Павильон №3 Зал №15;;;;;C8115;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90787&itemid=137751;ALECTRONIC COMPONENTS., LIMITED;Гонконг, специальный административный район Китая;;;Павильон №3 Зал №14;;;;;B4171;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=84430&itemid=136031;ALLCHIPS ELECTRONICS LIMITED;Китай ;;;Павильон №3 Зал №14;;;;;B4081;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90975&itemid=136640;AmpliVisionS;Китай;;;Павильон №3 Зал №15;;;;;C3147;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92347&itemid=138830;Ande Electronics Co.,ltd;Китай ;;;Павильон №3 Зал №15;;;;;C9117;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90713&itemid=138745;ANHUI GOLDEN VISION OPTOELECTRONIC TECHNOLOGY CO.,LTD;Китай;;;Павильон №3 Зал №14;;;;;B1171;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90980&itemid=138697;Anyarc (Kunshan) Technology Co., Ltd;Китай ;;;Павильон №3 Зал №15;;;;;C6137;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92341&itemid=138702;AO YUET ( HK ) ELECTRONICS LIMITED;Китай;;;Павильон №3 Зал №15;;;;;C1147;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=88511&itemid=136490;ARGUS-X;Россия ;;;Павильон №3 Зал №15;;;;;C7061;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92007&itemid=139960;Arman Moj Fanavar;Ближний Восток;;;Павильон №3 Зал №13;;;;;A6027;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=86032&itemid=138825;Avtex Semiconductor Limited;Китай ;;;Павильон №3 Зал №14;;;;;B4115;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=90972&itemid=136483;BDS Electronics Inc.;Китай ;;;Павильон №3 Зал №14;;;;;B1181;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92647&itemid=139572;Beijing Huijierui Technology Co., Ltd.;Китай;;;Павильон №3 Зал №13;;;;;A5021;;;;
https://catalogue.ite-expo.ru/ru-RU/specialpages/exhibitor_view.aspx?project_id=536&exhibitor_id=92574&itemid=139259;Beijing Leaguesun Electronics Co.,Ltd.;Китай ;;;Павильон №3 Зал №14;;;;;B8161;;;;
